variavel: Total das Receitas;;;;;;;;;
Mata;4312104;-29,5649;-54,4641;1587624;1890378;3476282;4752114;5521913;5455827
Mato Castelhano;4312138;-28,28;-52,19319999999;1798842;2111617;2604914;2833761;3702048;4380238
Mato Leitão;4312153;-29,5285;-52,1278;9337660;8336605;9834481;10159794;10723204;10640590
Mato Queimado;4312179;-28,2475;-54,61919999999;826829;905929;1174838;1236201;1443383;1707180
Maximiliano de Almeida;4312203;-27,6325;-51,8021;3104985;4083241;5603293;6143827;6325926;6010386
Minas do Leão;4312252;-30,13459999999;-52,04229999999;10776636;14367498;18868188;23490104;28275892;31963423
Miraguaí;4312302;-27,497;-53,6891;2985629;4457062;6048209;7648738;9318476;8314006
Montauri;4312351;-28,6462;-52,0767;4128105;5224687;4491281;4668540;5777749;6063155
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;1178236;2762568;3424512;2449522;2185610;2713435
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;4813636;4380059;5524256;6003192;6533249;4777184
Montenegro;4312401;-29,6824;-51,4679;282985509;296796862;315547642;393463582;335957617;349236539
Mormaço;4312427;-28,6968;-52,6999;1027928;1289680;1531231;1457088;1620429;1848093
Morrinhos do Sul;4312443;-29,3578;-49,9328;1006708;1005680;1433888;1604014;1872476;1877550
Morro Redondo;4312450;-31,58869999999;-52,6261;7120200;7398451;9832789;10512508;12376861;12261969
Morro Reuter;4312476;-29,5379;-51,08109999999;8919731;7252482;10088774;13072905;14272896;13432372
Mostardas;4312500;-31,10539999999;-50,91669999999;6302556;7482158;9346935;9684810;10176082;11631075
Muçum;4312609;-29,163;-51,8714;9383300;12069322;14920053;17524647;19640468;18164805
Muitos Capões;4312617;-28,31319999999;-51,18359999999;3312486;4342398;4047242;4345323;4778092;6529703
Muliterno;4312625;-28,32529999999;-51,7697;1050482;1309820;1669695;2077011;2272811;2591136
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;91453861;124516963;158907518;216124341;184399844;134310990
Nicolau Vergueiro;4312674;-28,5298;-52,46759999999;1978833;2262435;2641090;3066953;3305101;4018562
Nonoai;4312708;-27,3689;-52,77559999999;8857425;10287324;13391652;16548228;15678000;16833450
Nova Alvorada;4312757;-28,6822;-52,1631;10149663;17012426;19501164;19609509;22718367;28015664
Nova Araçá;4312807;-28,6537;-51,7458;5016753;5664458;8923459;9031223;11242752;11374571
Nova Bassano;4312906;-28,72909999999;-51,7072;37929518;49126952;69908863;89894963;95359224;77018765
Nova Boa Vista;4312955;-27,99259999999;-52,9784;1424383;2078687;3092995;3637210;4802040;6050733
Nova Bréscia;4313003;-29,2182;-52,0319;1597480;2229237;3609245;4716761;4474089;5099663
Nova Candelária;4313011;-27,6137;-54,10739999999;6735059;9459354;10389981;9381141;10987364;11819579
Nova Esperança do Sul;4313037;-29,4066;-54,8293;5082048;5174767;5198098;5846420;4872042;6064553
Nova Hartz;4313060;-29,5807;-50,90509999999;69560459;101636915;108397120;82522658;79358867;75408375
Nova Pádua;4313086;-29,0275;-51,3098;2190964;2447868;3840194;4242418;4913919;5363342
Nova Palma;4313102;-29,471;-53,46889999999;6018754;6860828;9401211;10998607;12162033;12514347
Nova Petrópolis;4313201;-29,37409999999;-51,1135;66347117;72701160;88450172;98729887;107167995;115651889
Nova Prata;4313300;-28,7799;-51,6113;78649824;79646466;92448770;109202124;129117331;115043150
Nova Ramada;4313334;-28,0667;-53,69919999999;1547764;2079636;2886169;3605010;3954320;4605018
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;5916271;6149956;7243423;7804956;7599857;8073379
Nova Santa Rita;4313375;-29,85249999999;-51,2837;71921166;92520869;117736323;142333403;144781499;155632702
Novo Barreiro;4313490;-27,90769999999;-53,1103;1174069;1351477;2194303;2540483;2794413;2973464
Novo Cabrais;4313391;-29,73379999999;-52,9489;1680022;2124007;2695727;3060424;3337876;3612634
Novo Hamburgo;4313409;-29,6876;-51,1328;797228840;846336699;1066901387;1162205906;1215262115;1208490906
Novo Machado;4313425;-27,57649999999;-54,50359999999;1370444;1769848;1762183;1953696;1804269;2019010
Novo Tiradentes;4313441;-27,5649;-53,1837;440950;503241;759791;947820;792591;1055938
Novo Xingu;4313466;-27,74309999999;-53,06159999999;752274;964665;1204869;1400421;1596094;1644304
Osório;4313508;-29,8881;-50,2667;208228075;447128517;666726477;94997897;101578782;99038681
Paim Filho;4313607;-27,7075;-51,76299999999;1969514;2480761;3518078;3886792;4385091;4695130
Palmares do Sul;4313656;-30,25349999999;-50,5103;6880170;8104355;11112889;28504648;16535881;16875575
Palmeira das Missões;4313706;-27,9006;-53,3134;32877164;40627428;47940819;56619924;58131735;63753985
Palmitinho;4313805;-27,3596;-53,558;3297896;4168326;6334254;7382692;8987926;9796460
Panambi;4313904;-28,2833;-53,50229999999;142401527;177242944;201972687;274212912;319088180;267583648
Pantano Grande;4313953;-30,1901;-52,3729;7896449;9031650;11945363;14995687;16724780;18403303
Paraí;4314001;-28,59639999999;-51,7896;13242577;18305269;29029721;30232241;37535294;40468803
Paraíso do Sul;4314027;-29,6717;-53,14399999999;1712636;1836601;2945991;3567628;3554181;3881761
Pareci Novo;4314035;-29,6365;-51,39739999999;2820364;3840690;5844554;7214010;8642386;9334570
Parobé;4314050;-29,6243;-50,8312;87699001;111958327;108674169;106600579;102687052;99584950
Passa Sete;4314068;-29,45769999999;-52,95989999999;1020131;728014;1267041;1533432;1650649;1488347
Passo do Sobrado;4314076;-29,748;-52,27479999999;4924825;5776831;7096839;8733817;7667351;8288638
Passo Fundo;4314100;-28,2576;-52,4091;457775110;549045935;759612641;896884613;920784994;935291039
Paulo Bento;4314134;-27,6978;-52,42609999999;3291847;2071130;4043380;3325078;4113085;4571934
Paverama;4314159;-29,5485;-51,73389999999;3182581;5292099;8264991;9476087;9427923;9298139
Pedras Altas;4314175;-31,72169999999;-53,58379999999;705127;748983;1046602;1364797;1257855;1456128
Pedro Osório;4314209;-31,8642;-52,81839999999;3902141;4596358;6775538;7206735;7935566;8698804
Pejuçara;4314308;-28,4283;-53,65789999999;3092331;3696212;4353914;4956204;5561120;5946445
Pelotas;4314407;-31,7649;-52,3371;541911744;669066261;839884144;952149933;1035263015;1092897478
Picada Café;4314423;-29,4464;-51,13669999999;52394710;63017253;76521663;70188542;62726720;52210897
Pinhal;4314456;-27,50799999999;-53,20819999999;3602687;3991810;4869404;5666150;6968131;8293091
Pinhal da Serra;4314464;-27,86339999999;-51,1702;53844795;57443511;49814625;37026001;53558970;44564881
Pinhal Grande;4314472;-29,34499999999;-53,3207;2876287;2344142;3383855;3868845;4062526;4170294
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;1684248;1974451;2557575;3108420;3511950;3408092
Pinheiro Machado;4314506;-31,5794;-53,3798;8006119;8147585;10055720;11623382;10052708;10429901
Pinto Bandeira;4314548;-29;-54;-;-;-;965935;3008344;3767352
Pirapó;4314555;-28,0439;-55,20009999999;512472;542797;946307;1110121;1087273;1188603
Piratini;4314605;-31,44729999999;-53,09729999999;9117242;8799990;12657437;14333431;14615868;15796976
Planalto;4314704;-27,32969999999;-53,0575;5224220;6390162;8627330;9440058;10312997;11331817
Poço das Antas;4314753;-29,4481;-51,6719;1406196;1439535;3487544;5000819;6721958;7672590
Pontão;4314779;-28,05849999999;-52,67909999999;1712431;2628675;3430020;3614050;3980220;5231401
Ponte Preta;4314787;-27,6587;-52,4848;1030038;1396660;1868087;1858448;2344665;2478569
Portão;4314803;-29,70149999999;-51,24289999999;94166953;105930655;119180800;140819749;171660544;177951699
Porto Alegre;4314902;-30,032778;-51,23;11658982889;13431517760;15644724666;16639833823;17053890908;17925414758
Porto Lucena;4315008;-27,8569;-55,00999999999;1648867;1975036;2690073;3159122;3430929;3677377
Porto Mauá;4315057;-27,57959999999;-54,6657;955271;1049504;1293449;1524394;1502294;1665791
Porto Vera Cruz;4315073;-27,7405;-54,8994;319719;337523;526201;717212;857278;925394
Porto Xavier;4315107;-27,9082;-55,1379;13626510;10602418;11556147;19710162;15251705;18192154
Pouso Novo;4315131;-29,1738;-52,2136;1301753;1388036;1889488;2012459;2032757;2517696
Presidente Lucena;4315149;-29,5176;-51,1798;3633502;5194537;7329811;8517616;9974413;9863692
Progresso;4315156;-29,24419999999;-52,31969999999;2335492;2585553;4491513;5014212;5665559;5654514
Protásio Alves;4315172;-28,7572;-51,4757;1061105;1528398;1645858;2268628;2672905;2723665
Putinga;4315206;-29,0045;-52,1569;1934132;2196046;3808712;4207480;4811112;5277525
Quaraí;4315305;-30,384;-56,4483;11077635;12825337;18554385;20746240;22690164;26599024
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;1057356;1414729;1681829;2104414;2592357;3039758
Quevedos;4315321;-29,3504;-54,07889999999;622416;696104;937621;1100660;1295773;1229300
Quinze de Novembro;4315354;-28,7465;-53,1011;2363625;3043893;4029505;4922697;5886960;7151618
Redentora;4315404;-27,664;-53,6407;1432434;1769436;2365618;3049455;3039299;3271691
Relvado;4315453;-29,11639999999;-52,0778;1320008;1376558;1858055;2470172;2569240;2325720
Restinga Sêca;4315503;-29,8188;-53,38069999999;8274689;9464469;12286937;13969887;16837683;16858015
Rio dos Índios;4315552;-27,2973;-52,8417;778970;772752;749544;1083371;1097974;1431869
Rio Grande;4315602;-32,0349;-52,1071;1236645822;1317098238;1513923301;1350659974;982644061;905276747
Rio Pardo;4315701;-29,988;-52,37109999999;23525131;26371544;30115446;35582643;36653921;38795638
Riozinho;4315750;-29,63899999999;-50,44879999999;9803440;9680178;11533646;10798012;9463153;11113352
Roca Sales;4315800;-29,28839999999;-51,8658;13516223;13804613;14663462;16214172;16144630;17856654
Rodeio Bonito;4315909;-27,4742;-53,1706;9770737;13333851;16922348;18471907;21371476;21809794
Rolador;4315958;-28,25767;-54,81864;498965;434779;549704;932154;922568;830870
Rolante;4316006;-29,6462;-50,58189999999;24494100;30806582;41700435;49948870;48265626;54042936
Ronda Alta;4316105;-27,7758;-52,80559999999;4938751;5919593;8574739;9932930;10607604;11847075
Rondinha;4316204;-27,83149999999;-52,90809999999;2161129;2367037;3951575;4351015;4299453;5284781
Roque Gonzales;4316303;-28,1297;-55,0266;12107729;5328798;5891928;5375104;5221453;5657837
Rosário do Sul;4316402;-30,2515;-54,9221;22714029;31034059;35445613;42031941;45648588;52688627
Sagrada Família;4316428;-27,7085;-53,1351;567346;622214;710961;983724;1117459;1051223
Saldanha Marinho;4316436;-28,3941;-53,097;2323799;2717681;3188296;3622422;3808231;4810845
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;9312510;10589729;12666665;14337355;15125113;16243584
Salvador das Missões;4316477;-28,1233;-54,83729999999;3214570;3649424;4719987;5401315;6025817;6955545
Salvador do Sul;4316501;-29,4386;-51,5077;20428715;24751009;28776624;38690062;47540037;38407823
Sananduva;4316600;-27,94699999999;-51,80789999999;26161323;35762010;46748155;47264607;45348565;50429763
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;15045450;21004171;23260426;23008084;30200358;29419379
Santa Cecília do Sul;4316733;-28,1537;-51,9296;1065073;1168065;1382844;1589546;1871377;2132487
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;7948367;9158341;9731988;11129007;12173264;13785564
Santa Cruz do Sul;4316808;-29,722;-52,4343;1130642182;1200815108;1322700665;1670085241;1853480096;1859360749
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;1480354;1694298;2187153;2554037;2903472;3256542
Santa Maria;4316907;-29,6868;-53,81499999999;550598556;696290872;873887481;1023605641;1115287164;1183801716
Santa Maria do Herval;4316956;-29,4902;-50,9919;8360323;9803088;11039991;12401179;13474296;13090372
Santa Rosa;4317202;-27,8702;-54,47959999999;170388043;198695301;272997494;300528136;292354394;276423859
Santa Tereza;4317251;-29,1655;-51,7351;1102851;1290231;1713489;2022241;2253947;2186674
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;19701920;20561634;29490342;41803937;48749316;46986480
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;1331934;1651044;2666047;2914471;3242031;3352291
Santana do Livramento;4317103;-30,88769999999;-55,5315;60670981;73081785;101189042;116238019;124875914;138832313
Santiago;4317400;-29,18969999999;-54,86659999999;34792822;40799340;56209130;65534263;74449330;78399805
Santo Ângelo;4317509;-28,3001;-54,2668;123730445;125102537;159753989;185275065;205223122;207559884
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;56423464;72698247;110005631;118218573;129398688;108056635
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;3884191;4421503;6348436;7486791;7877615;9484273
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;1713064;1979564;2798600;3486246;3551452;3950847
Santo Antônio do Planalto;4317756;-28,40309999999;-52,69919999999;1698094;1877186;2618356;2482856;2717669;3161283
Santo Augusto;4317806;-27,85259999999;-53,7776;13685588;15797183;20759809;24677791;27923149;32666674
Santo Cristo;4317905;-27,8263;-54,66199999999;31438646;29924215;34008536;37215291;40923824;46722610
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;1106392;1313137;1654681;2133116;2624533;3075097
São Borja;4318002;-28,6578;-56,00359999999;82533256;87627804;99880800;141370303;136474080;130323265
São Domingos do Sul;4318051;-28,53119999999;-51,886;1741679;2394282;3687803;3697758;4138630;4683334
São Francisco de Assis;4318101;-29,5547;-55,1253;5927429;6541703;8986511;10040522;11315076;12898684
São Francisco de Paula;4318200;-29,4404;-50,58279999999;19584589;24510375;31419542;26551806;28104433;29649780
São Gabriel;4318309;-30,3337;-54,3217;40994275;43024941;61143520;71501666;75472763;82354627
São Jerônimo;4318408;-29,97159999999;-51,72509999999;42190001;58377873;75171244;43637650;54160761;49448777
São João da Urtiga;4318424;-27,8195;-51,82569999999;2799851;3166153;4844026;5738513;6694229;6413047
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;2070076;2767882;3793563;4718996;5465174;4847972
São Jorge;4318440;-28,4984;-51,7064;1413020;2011933;3235712;3590673;3503915;3930029
São José das Missões;4318457;-27,7789;-53,12259999999;1000799;1283668;1552859;1720969;1951655;2187314
São José do Herval;4318465;-29,052;-52,295;863234;1187799;2675147;2587406;3463375;2958484
São José do Hortêncio;4318481;-29,52799999999;-51,245;3651091;4724934;4207124;4740181;4886990;5615866
São José do Inhacorá;4318499;-27,7251;-54,12749999999;1149034;1639641;3073426;4554438;5525756;5281244
São José do Norte;4318507;-32,01509999999;-52,03309999999;12781032;14917309;20180244;28426796;46591137;63494667
São José do Ouro;4318606;-27,7707;-51,5966;8051944;10472449;14948861;16027828;17793430;17155359
São José do Sul;4318614;-29,529;-51,48709999999;2477343;2132836;3110545;3173803;3874463;4610165
São José dos Ausentes;4318622;-28,74759999999;-50,0677;1823956;1869769;2357904;3391932;3274278;7707045
São Leopoldo;4318705;-29,7545;-51,14979999999;663947871;799624053;939784642;984043566;1037824969;1072148327
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;25219456;29250487;40210017;48689714;55218784;57028424
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;23766309;28033550;37377741;43115707;48687522;59440144
São Marcos;4319000;-28,9677;-51,0696;66245169;74628133;91988980;106868381;111950605;116086099
São Martinho;4319109;-27,7112;-53,9699;2640832;3453238;5175801;6715500;7269948;8532206
São Martinho da Serra;4319125;-29,5397;-53,859;1547845;1532882;1879257;2340414;2630285;2866877
São Miguel das Missões;4319158;-28,556;-54,5559;3334346;3953022;5144806;6833028;7621612;9441664
São Nicolau;4319208;-28,18339999999;-55,2654;1799565;1969825;2169910;2794953;3109745;3102828
São Paulo das Missões;4319307;-28,0195;-54,94039999999;2770274;3164866;4122035;4239230;4082501;4100693
São Pedro da Serra;4319356;-29,4193;-51,51339999999;1761483;2031198;4230068;4829853;5385286;5547854
São Pedro das Missões;4319364;-27,77321999999;-53,25047;700740;1069470;1407375;1778554;1962121;2068962
São Pedro do Butiá;4319372;-28,1243;-54,8926;1893054;1984963;2773181;3473625;3942261;4458159
São Pedro do Sul;4319406;-29,6202;-54,18549999999;11924154;14549202;14949257;16135689;16854245;18127046
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;47119208;54322796;67856330;74963661;86432752;83294868
São Sepé;4319604;-30,1643;-53,56029999999;17649142;20631890;25029631;33013772;31392966;31593832
São Valentim;4319703;-27,55829999999;-52,52369999999;3542570;4455207;5122287;5497916;4981554;6785563
São Valentim do Sul;4319711;-29,0451;-51,7684;1544130;1627656;2542619;2706171;3165725;3438017
São Valério do Sul;4319737;-27,7906;-53,93679999999;484948;529899;593869;569202;656688;719080
São Vendelino;4319752;-29,3729;-51,3675;2927689;4634545;8269696;9252039;8499030;8726516
São Vicente do Sul;4319802;-29,68819999999;-54,6826;4419486;4655893;6231548;7768887;8502432;9596138
Sapiranga;4319901;-29,63489999999;-51,0065;134001796;148213922;202738228;222787845;218270951;260015341
Sapucaia do Sul;4320008;-29,8276;-51,145;218070786;234753708;296384315;308644238;275299681;258674290
Sarandi;4320107;-27,942;-52,92309999999;41611479;49956881;63095007;68479109;70111479;70162344
Seberi;4320206;-27,4829;-53,4026;6659845;7733953;12922652;16574428;19503009;22364727
Sede Nova;4320230;-27,6367;-53,9493;1190143;1827968;1933341;2108512;2124923;2488904
Segredo;4320263;-29,3523;-52,9767;1013482;1527161;2494398;2776686;3174291;3365738
Selbach;4320305;-28,6294;-52,9498;6247735;7703830;10834067;12411641;15171180;14175905
Senador Salgado Filho;4320321;-28,025;-54,55069999999;3808449;4044047;4077496;3576044;3982387;3356384
Sentinela do Sul;4320354;-30,6107;-51,58619999999;2046456;2464335;3492855;5109026;5307540;6148676
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;36341280;41569501;52225083;53506391;47442956;49649032
Sério;4320453;-29,3904;-52,2685;469537;558112;905726;965221;1086139;1181956
Sertão;4320503;-27,9798;-52,2588;5030357;5954041;8238534;9626091;11093067;10993620
Sertão Santana;4320552;-30,45619999999;-51,6017;2887299;3834857;5815669;6594572;7107067;8051524
Sete de Setembro;4320578;-28,13619999999;-54,4637;542596;772489;822371;1028038;1256242;1097884
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;2178728;2527601;3696611;4603853;4953375;5051194
Silveira Martins;4320651;-29,64669999999;-53,591;1348932;1370891;2361764;2424980;3716782;3198707
Sinimbu;4320677;-29,53569999999;-52,5305;7973529;9508348;10331107;13050861;13280853;8891321
Sobradinho;4320701;-29,4194;-53,0326;11776157;12596032;17752850;21123331;19906335;20230719
Soledade;4320800;-28,8306;-52,5131;25842995;29713533;42285557;48424341;54835916;63382586
Tabaí;4320859;-29,643;-51,68229999999;1855137;1986884;3268252;3646582;4144600;4472121
Tapejara;4320909;-28,0652;-52,0097;64754681;76658140;83202599;90771638;122795716;118553672
Tapera;4321006;-28,6277;-52,86119999999;17067269;21360873;27751532;31533358;33848742;39917281
Tapes;4321105;-30,66829999999;-51,39909999999;8661009;9770221;14945764;15890212;15553198;16970795
Taquara;4321204;-29,6505;-50,7753;67590938;75924021;101308449;107948467;120683703;125046327
Taquari;4321303;-29,7943;-51,86529999999;39995679;48201942;56636245;57174031;60453057;65097601
Taquaruçu do Sul;4321329;-27,4004;-53,4703;1502875;1845009;2841303;3642514;3931635;4193111
Tavares;4321352;-31,2843;-51,088;3151820;3438831;4153675;4399228;4686250;5780770
Tenente Portela;4321402;-27,37109999999;-53,75849999999;6880024;8944042;12926488;15677639;16793967;19717754
Terra de Areia;4321436;-29,57819999999;-50,06439999999;3594341;4330612;8504794;10878819;11776005;12069228
Teutônia;4321451;-29,4482;-51,8044;70378363;80601519;94684001;97266587;103170074;95712823
Tio Hugo;4321469;-28,57404;-52,5949;2988437;3465661;4635374;5475210;7605060;7937531
Tiradentes do Sul;4321477;-27,4022;-54,0814;2403482;2350600;3453901;3543960;3903615;4440043
Toropi;4321493;-29,4782;-54,2244;690683;890372;1157710;1363150;1473200;1617589
Torres;4321501;-29,3334;-49,7333;28957319;36090273;54908108;65347553;72743523;77271402
Tramandaí;4321600;-29,9841;-50,13219999999;27492526;32982371;48966297;56129876;64981698;65379270
Travesseiro;4321626;-29,29769999999;-52,05319999999;1338305;1914311;1873959;2105131;2192522;2426883
Três Arroios;4321634;-27,50029999999;-52,14479999999;846225;1054414;1743516;1862044;2534958;2827587
Três Cachoeiras;4321667;-29,44869999999;-49,9275;5359229;6869212;11435941;13992572;16396639;16863403
Três Coroas;4321709;-29,5137;-50,77389999999;87833656;99830283;114648624;113761287;112728404;114781849
Três de Maio;4321808;-27,78;-54,2357;34816674;41257262;57983341;64210320;74641438;72352953
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;663331;751947;935543;983807;1023387;1107689
Três Palmeiras;4321857;-27,6139;-52,84369999999;1713202;2025069;2720852;3382511;3680411;4641271
Três Passos;4321907;-27,4555;-53,9296;30014683;35209567;48518251;55315515;55098031;55071009
Trindade do Sul;4321956;-27,5239;-52,8956;3165637;3719317;5580219;8132803;6929490;9102934
Triunfo;4322004;-29,92909999999;-51,7075;571830326;617096288;577774280;492109702;338647095;258354212
Tucunduva;4322103;-27,65729999999;-54,44389999999;4198098;5182489;7683104;7771108;8382466;7360779
Tunas;4322152;-29,10389999999;-52,9538;758895;959884;1040043;1092393;1364466;1482843
Tupanci do Sul;4322186;-27,92409999999;-51,5383;1045129;1204634;1591760;1951411;2315040;2847297
Tupanciretã;4322202;-29,08579999999;-53,84449999999;26362510;30933670;36563876;42395875;44171515;48081994
Tupandi;4322251;-29,4772;-51,4174;29249720;38800577;36673782;26146001;24951138;26119707
Tuparendi;4322301;-27,75979999999;-54,4814;6303138;7663124;10120806;10181088;11477100;11902931
Turuçu;4322327;-31,4173;-52,1706;1834395;2173691;2845791;3145934;3640329;4283887
Ubiretama;4322343;-28,0404;-54,68589999999;735320;917076;1042155;1034496;985080;968846
União da Serra;4322350;-28,7833;-52,0238;1027737;1207620;1744975;2033838;2322040;2575368
Unistalda;4322376;-29,03999999999;-55,15169999999;1191368;1275889;1442470;1662167;1744033;1773598
Uruguaiana;4322400;-29,76139999999;-57,08529999999;131238669;152592634;201576263;228204686;244491375;280567336
Vacaria;4322509;-28,50789999999;-50,9418;114152756;127895118;189771455;183104874;190210228;191944707
Vale do Sol;4322533;-29,59669999999;-52,6839;11667521;10724787;11816996;10935521;10657691;8707415
Vale Real;4322541;-29,3919;-51,25589999999;3488704;3802732;7946356;9870417;10522051;10979483
Vale Verde;4322525;-29,7864;-52,18569999999;717982;775453;1339232;1580520;1783485;1960114
Vanini;4322558;-28,4758;-51,8447;1325674;1427406;2136659;2539483;2754663;3107284
Venâncio Aires;4322608;-29,6143;-52,19319999999;113893851;131610300;180114196;197526787;201940312;238377968
Vera Cruz;4322707;-29,71839999999;-52,5152;30873729;25536018;30379352;31467077;40410927;38207946
Veranópolis;4322806;-28,9312;-51,5516;66983079;74146028;101372537;113856989;127978316;139287646
Vespasiano Correa;4322855;-29,0655;-51,8625;1366627;1908936;3010674;3502316;3527055;3507632
Viadutos;4322905;-27,5716;-52,02109999999;1751750;2017106;2767266;3464282;3937213;4282931
Viamão;4323002;-30,0819;-51,01939999999;162084710;160698889;232548734;254564686;280831386;263536570
Vicente Dutra;4323101;-27,16079999999;-53,4022;1557489;1704192;2415759;2846528;2939700;3304208
Victor Graeff;4323200;-28,56319999999;-52,74949999999;2797330;3420510;4549024;5115117;5103458;5588800
Vila Flores;4323309;-28,8598;-51,5504;15279667;14663598;17698455;21370746;23210038;20673739
Vila Lângaro;4323358;-28,1062;-52,14379999999;1091776;1663272;2847070;2947391;3141367;4117990
Vila Maria;4323408;-28,5359;-52,14869999999;8739147;10386599;14530893;15550414;17283008;18818101
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;3088539;3123189;3080827;3245003;3576468;4037807
Vista Alegre;4323507;-27,3686;-53,4919;1407533;1869479;2647185;3438369;2860400;2978755
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;1442815;1891164;3307568;5248255;7982658;5162131
Vista Gaúcha;4323705;-27,29019999999;-53,6974;1025091;1057913;1740547;2554974;2291733;2208603
Vitória das Missões;4323754;-28,3516;-54,50399999999;625514;963499;1689251;2018572;2580204;2897850
Westfalia;4323770;-29,3744;-51,74629999999;6794103;9410584;8806163;9892966;11691756;12567070
Xangri-lá;4323804;-29,8065;-50,0519;18256223;21052107;29506789;32346814;36770341;37059674
