variavel: PIB per capita;;;;;;;;;;;;
caminho: /Contabilidade Social/Série 2002 em diante/PIB per capita;;;;;;;;;;;;
fonte: Fundação de Economia e Estatística/Núcleo de Contabilidade Social. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$);2016 (R$);2017 (R$);2018 (R$)
Aceguá;4300034;-31,86075999999;-54,16705999999;23776,87;26175,89;24066,83;39171,43;45310,68;51154,67;54136,7;55081,87;51069,07
Água Santa;4300059;-28,1672;-52,03099999999;26985,47;30589,01;35978,78;63605,38;59909,5;68969,23;69962,78;66989,56;88151,28
Agudo;4300109;-29,6447;-53,2515;14649,46;17002,57;18181,49;20703,32;25117,46;25057,96;25800,86;28455,96;30258,08
Ajuricaba;4300208;-28,2342;-53,7757;18307,8;26221,22;22490,07;27371,49;26824,21;32248,41;35732,39;34772,75;42299,19
Alecrim;4300307;-27,6579;-54,76489999999;8293,73;9334,69;9895,75;12158,66;12794,83;13687,25;15063,05;15753,41;18159,02
Alegrete;4300406;-29,79019999999;-55,79489999999;13703,92;14313,44;16913,72;19176,1;21199,24;23186,08;24317,97;25890,38;29467,27
Alegria;4300455;-27,83449999999;-54,0557;10843,38;13149,76;11214,83;17647,08;19862,64;22384,79;27283,31;25175,9;31929,57
Almirante Tamandaré do Sul;4300471;-28,10859999999;-52,9119;29465,19;35636,23;28224,11;49931,66;49748,88;58018,3;66851,15;62677,88;83157,15
Alpestre;4300505;-27,2502;-53,0341;10401;11145,44;10743,61;14042,23;15678,52;70085,19;59494,74;70927,03;76014,58
Alto Alegre;4300554;-28,7769;-52,98919999999;15977,96;20415,31;21178,48;31242,78;29501,78;31030,84;36680,67;35425,58;40017,04
Alto Feliz;4300570;-29,3919;-51,3123;12413,15;13966,72;15262,36;19243,45;21539,17;25394,37;26745,37;27654,76;31143,68
Alvorada;4300604;-29,99139999999;-51,0809;6952,51;7822,66;8846,02;9765,91;10637,31;11332,08;12583,4;12524,18;12914,08
Amaral Ferrador;4300638;-30,87559999999;-52,25099999999;7966,37;10039,44;9636,32;12299,58;11107,49;12734,01;16342,72;15008,24;14085,63
Ametista do Sul;4300646;-27,3607;-53,183;7102,16;7750,39;8684,03;9608,5;10417,26;11506,74;12016,9;13164,88;16218,9
André da Rocha;4300661;-28,62829999999;-51,5797;29323,36;34997,61;31869,13;78646,73;83560,34;82081,16;95207,42;77749,08;83234,43
Anta Gorda;4300703;-28,96979999999;-52,01019999999;14677,96;17697,12;18144,97;23635,19;27142,16;28173,67;30835,84;32538,5;35792,01
Antônio Prado;4300802;-28,8565;-51,2883;19520,51;21614,71;24188,17;28001,02;32224,11;36218,62;39147,2;40496,71;46929,32
Arambaré;4300851;-30,9093;-51,5046;18140,69;16674,71;22367,26;27334,45;30552,6;34572,64;35992,97;38201,48;33616,2
Araricá;4300877;-29,6168;-50,92909999999;15330,39;18095,75;20144,39;23551,97;28941,02;27035,59;27517,8;26766,37;28896,53
Aratiba;4300901;-27,3978;-52,29749999999;166136,14;174290,64;130075,1;131519,94;90978,31;139757,43;144368,52;133833,9;127640,3
Arroio do Meio;4301008;-29,40139999999;-51,9557;27422,65;38113,46;37096,24;42212,97;44691,35;46833,32;51976,54;52217,83;59080,01
Arroio do Padre;4301073;-31,4316;-52,41709999999;9959,71;10248,01;12466,51;14087,2;16930,88;15442,14;17703,35;20140,95;15583,92
Arroio do Sal;4301057;-29,5439;-49,88949999999;13461,76;15067,37;17073,18;17968,89;19038,09;20945,32;22726,57;24638,41;22719,58
Arroio do Tigre;4301206;-29,3348;-53,0966;14846,36;15065,1;16643,2;22225,12;22021,48;22412,71;23409,27;24995,39;25173,18
Arroio dos Ratos;4301107;-30,0875;-51,72749999999;8183,88;8262,11;10250,76;12311,11;13873,15;15996,52;16280,71;16592,98;18526,84
Arroio Grande;4301305;-32,2327;-53,08619999999;16153,27;16064,62;18230,49;23116,3;23730,61;26849,43;26885,27;32643,03;29608,24
Arvorezinha;4301404;-28,87369999999;-52,1781;11197,44;13222,22;14024,37;17189,22;19741,99;21156,23;23339,66;24221,72;23846,62
Augusto Pestana;4301503;-28,51729999999;-53,9883;19810,99;23081,28;21241,6;33232,41;33200,64;36567,74;41799,5;41440,73;50680,21
Áurea;4301552;-27,6936;-52,0505;13052,39;15205,7;15158,61;18321,79;23720,47;24005,42;28011,38;26082,49;30231,78
Bagé;4301602;-31,32969999999;-54,09989999999;11028,73;11974,79;14150,13;17040,92;18366,05;21060,01;23332,43;24601,29;24620,88
Balneário Pinhal;4301636;-30,2419;-50,2336;9320,28;9962,06;11171,85;12767,73;13712,77;15166,38;16389,19;17299,55;15745,16
Barão;4301651;-29,3725;-51,4949;19441,34;22142,53;23740,28;32296,34;33773,35;31454,5;27997,54;28395,89;34635,32
Barão de Cotegipe;4301701;-27,62079999999;-52,3798;15326,14;16191,41;15817,72;21532,44;25368,13;24846,05;29090,79;30461,89;32944,09
Barão do Triunfo;4301750;-30,38909999999;-51,73839999999;8314,07;10327,8;10094,58;12621,72;13192,22;13154,16;15283,04;15355,95;14899,99
Barra do Guarita;4301859;-27,19269999999;-53,7109;7366,44;8103,56;8582,94;10715,56;11684,64;11797,22;12773,53;12939,6;12980,24
Barra do Quaraí;4301875;-30,2029;-57,5497;28265,96;21288,58;25898,66;32085,88;37650,04;43856,23;41692,18;47852,46;41512,15
Barra do Ribeiro;4301909;-30,2939;-51,3014;13336,85;13569,96;15763,72;16738,31;19780,41;22271,48;23770,1;24744,99;23808,18
Barra do Rio Azul;4301925;-27,4068;-52,4084;13504,1;14603,06;14314,85;18881,57;21639,57;21619,35;26680,04;25296,31;28324,42
Barra Funda;4301958;-27,9205;-53,03909999999;31016,16;31432,2;33851,43;38942,77;42524,78;41854,23;46463,95;45126,69;51934,53
Barracão;4301800;-27,6739;-51,45859999999;20359,27;22053,33;22596,36;26588,66;27031,43;31113,92;39019,1;33927,08;41223,77
Barros Cassal;4302006;-29,0947;-52,58359999999;9378,46;10563,26;9670,6;12466,02;13720,36;13995,47;15973,18;16702,47;18267,07
Benjamin Constant do Sul;4302055;-27,5086;-52,59949999999;7243,85;8251,69;6965,35;10277,89;11382,05;11975,93;14025,08;13680,22;15705,07
Bento Gonçalves;4302105;-29,1662;-51,5165;32680,96;36207,68;39374,71;42668,85;47522,84;46383,26;45112;48069,12;50090,88
Boa Vista das Missões;4302154;-27,6671;-53,3102;35472,58;39564,95;26901,54;53788,58;50659,94;55531,04;63575,92;52738,78;74115,58
Boa Vista do Buricá;4302204;-27,6693;-54,10819999999;15591,89;16813,71;16699,77;21918,67;24076,41;24910,11;27527,02;28337,96;31944,72
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;38437,75;49245,26;30287,65;70870;68952,67;71698,34;95036,77;86135,32;111358,71
Boa Vista do Incra;4302238;-28,8092;-53,3874;29960,3;38012,57;30829,52;55841,03;48126,9;55481,32;70519,92;60828,85;78059,04
Boa Vista do Sul;4302253;-29,35439999999;-51,6687;15764,25;17340,77;16628,44;20117,88;23470,14;24994,73;24989,9;25679,93;32609,62
Bom Jesus;4302303;-28,66969999999;-50,42949999999;14963,59;16346,7;18711,41;21271,26;22616,17;24012,57;28583,01;25929,56;29455,96
Bom Princípio;4302352;-29,4856;-51,35479999999;21675,19;22433,02;26970,32;29335,67;33876,75;37531,63;39297,3;40561,86;47015,72
Bom Progresso;4302378;-27,53989999999;-53,8716;13761,86;14008,59;13214,97;19707,94;20842,7;21519,04;25111,99;24099,79;26576,4
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;13439,7;13389,16;15266,73;16624,69;17309,54;19215,5;20663,8;21561,41;24714,62
Boqueirão do Leão;4302451;-29,3046;-52,4284;10400,66;12114,07;10897,64;12853,48;13881,86;12926,2;14524,86;16856,95;17035,2
Bossoroca;4302501;-28,72909999999;-54,9035;20327,56;21853,1;18185,12;31534,98;32060,9;34793,6;43103,18;40024,29;51819,37
Bozano;4302584;-28,36746;-53,77223999999;17560,01;21870,62;14203,29;31952,13;32942,97;42591,64;48866;47342,47;72960,7
Braga;4302600;-27,6173;-53,74049999999;12841,61;13798,02;13635,51;18871,05;19230,57;19635,19;21698,26;20880,99;25280,38
Brochier;4302659;-29,5501;-51,59449999999;11441,55;11974,04;13276,93;14011,99;15415,85;16354,15;15997,7;17390,55;16588,07
Butiá;4302709;-30,11789999999;-51,96009999999;12773;13702,91;13256,67;15581,5;17618,38;19280,72;20170,19;20409,85;21264,2
Caçapava do Sul;4302808;-30,51439999999;-53,4827;12071,22;13440;14568,32;18075,58;19187,34;20927,02;22617,25;23553,41;24228,03
Cacequi;4302907;-29,8883;-54,822;11515,36;12956,65;14982,87;18315,13;20460,69;22700,12;22617,29;23695,04;26938,69
Cachoeira do Sul;4303004;-30,033;-52,8928;14579,4;16759,82;18110,47;21267,8;23867,48;24775,19;26602,24;26888,12;28528,77
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;35912,55;39866,2;43616,02;45568,6;49300,82;47494,74;39672,57;38959,54;40778,59
Cacique Doble;4303202;-27,76699999999;-51,6597;12151,08;12660,79;14143,34;14741,89;16727,57;17096,03;20060;18829,8;22514,36
Caibaté;4303301;-28,2905;-54,6454;13989,61;17418,11;15441,9;25869,41;26165,1;27292,51;33415,11;31572,47;36721,95
Caiçara;4303400;-27,2791;-53,42569999999;10182,24;11604,03;11334,79;15709,46;17327,68;16207,13;19277,08;19234,91;21186,87
Camaquã;4303509;-30,8489;-51,80429999999;16482,02;17557,41;20362,6;22698,49;25169,63;26105,86;29028,45;30617,83;30465,98
Camargo;4303558;-28,588;-52,20029999999;20195,55;22678,69;29675,96;51010,04;53347,65;57890,31;61785,21;61001,38;60853,95
Cambará do Sul;4303608;-29,0474;-50,1465;16152,21;17367,09;15175,03;16311,33;17987,32;19580,46;21221,95;22252,48;28008,65
Campestre da Serra;4303673;-28,7926;-51,09409999999;19143,36;20391,17;24404,08;27900,56;31949,63;37591,86;42714,68;43145,21;50780,76
Campina das Missões;4303707;-27,9888;-54,8417;11193,03;13083,23;13068,78;16755,56;17621,74;20176,86;24123,95;24414,54;27450,04
Campinas do Sul;4303806;-27,7174;-52,6248;19238,94;22897,09;23310,35;31526,14;30631,32;31399,12;36675,14;34165,71;40461,26
Campo Bom;4303905;-29,6747;-51,0606;29194,68;29139,25;30586,51;34271,34;36609,57;40521,77;43013,28;43365,16;47163,5
Campo Novo;4304002;-27,6792;-53,80519999999;17244,76;19403,79;18908,77;27437,74;29827,3;33560,98;37370,82;36825,17;45569,06
Campos Borges;4304101;-28,8871;-53,00079999999;14717,23;14614,59;13875,53;21743,37;20803,6;23343,27;25702,83;24598,31;29714,95
Candelária;4304200;-29,66839999999;-52,78949999999;12710,84;13835,67;14926,21;18067,51;19090,12;21191,76;21272,53;24459,76;26579,24
Cândido Godói;4304309;-27,95149999999;-54,7517;19231,89;19405,03;18555,61;24761,76;28061,15;28327,2;33046,66;34009,61;38102,02
Candiota;4304358;-31,5515;-53,6773;75153,51;35213,15;13222,48;12665,03;21770,13;28754,35;49623,54;53684,81;66192,85
Canela;4304408;-29,356;-50,8119;12949,91;13567,73;16935,15;17313,26;19275,76;21352,56;22349,36;23256,35;25378,74
Canguçu;4304507;-31,396;-52,67819999999;8988,92;9778,75;10672,64;14113,71;16039,91;16957,21;19317,61;20327,86;19932,46
Canoas;4304606;-29,9128;-51,18569999999;39250,1;32613,45;29998,83;33140,92;29373,29;47592,19;58761,93;55103,53;55594,2
Canudos do Vale;4304614;-29,3187;-52,23449999999;12365,97;14115,66;15753,39;19811,59;22336,76;21949,91;24066;23219,64;25040,62
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;47977,98;45312,32;44170,33;60221,89;62117,29;65848,82;78173,61;81518,2;118271,57
Capão da Canoa;4304630;-29,6397;-49,95989999999;15545,82;17738,91;19806,14;20836,24;22984,94;25441,14;28538,75;29783,96;27586,32
Capão do Cipó;4304655;-28,904;-54,7;41739,74;48226;32343,23;71141,87;71849,36;71704,42;77518,7;70151,94;89491,93
Capão do Leão;4304663;-31,75649999999;-52,4889;11198,47;12195,88;14091,54;14762,49;16388,44;20539,17;19592,88;21267,98;20071,27
Capela de Santana;4304689;-29,6961;-51,328;8860,97;8479,33;9891,25;12370,57;14784,56;15932,23;17345,52;17250,61;17164,57
Capitão;4304697;-29,26739999999;-51,9853;13588,83;13998,66;15519,35;19874,54;21579,06;21828,18;21879,88;24419,89;23671,55
Capivari do Sul;4304671;-30,1382;-50,51509999999;33229,71;28622,75;37510,03;42613,64;43707,31;47110,53;51986,62;50947,66;45334,3
Caraá;4304713;-29,78689999999;-50,4316;6550,23;7096,89;7921,75;10105,38;10908,24;11406,54;12521,74;12823,46;13451,66
Carazinho;4304705;-28,2958;-52,7933;19526,8;23512,09;24721,54;29665,36;34967,91;40213,22;43788,55;41895,88;48591,24
Carlos Barbosa;4304804;-29,2969;-51,50289999999;40118,94;45234,34;51357,58;54226,35;63919,37;66832,12;72880,46;78474,36;85997,12
Carlos Gomes;4304853;-27,71669999999;-51,9121;12092,12;13594,04;13676,14;18410,76;19134,17;19406,34;23498,35;21371,17;27714,78
Casca;4304903;-28,5605;-51,98149999999;24772,79;27808,22;29872,98;34945,73;38186,18;41041,97;45095,47;44938,46;48621,48
Caseiros;4304952;-28,25819999999;-51,6861;17629,36;16773,01;18169,77;27017,4;29130,46;32826,49;36327,67;37685,28;42539,09
Catuípe;4305009;-28,2554;-54,01319999999;16259,36;21007,21;15097,12;28176,42;27481,76;32135,66;37447,26;35430,14;43987,78
Caxias do Sul;4305108;-29,1629;-51,1792;37822,92;42599,15;45088,37;45984,86;47682,48;43452,15;41878,73;44927,71;48959,4
Centenário;4305116;-27,7616;-51,99839999999;10687,21;13172,63;14229,77;16504,26;18181,81;20539,99;24283,07;23015,25;25470,52
Cerrito;4305124;-31,84189999999;-52,8004;8254,44;8718,78;9619,63;11479,17;12115,1;13474,33;13811,48;15361,39;15278,24
Cerro Branco;4305132;-29,657;-52,9406;10016,39;10996,52;11523,61;13449,57;14273,61;14478,9;14169,04;15833,17;15482,58
Cerro Grande;4305157;-27,6106;-53,1672;11584,75;13614,7;10317,9;17441,55;16642,88;19022,73;21104,52;18986,33;24152,21
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;8647,67;9061,11;10273,07;12102,81;12777,18;13469,75;14932,2;14599,54;13284,89
Cerro Largo;4305207;-28,1462;-54,7428;28747,67;31295,69;36053,53;42531,88;41092,52;41750,89;44677,75;45546,26;52173,65
Chapada;4305306;-28,0559;-53,06649999999;23782,93;27502,06;21675,36;36054,17;37362,01;41019,21;45322,16;45523,33;50329,86
Charqueadas;4305355;-29,9625;-51,6289;25046,53;24644,34;27697,92;26920,05;28183,98;28769,22;26824,04;27018,08;42460,28
Charrua;4305371;-27,9493;-52,015;13568,33;15933,8;15662,04;20228,77;19347,89;20235,28;22941,17;20331,28;27751,75
Chiapetta;4305405;-27,92299999999;-53,94189999999;21617,79;28878,32;17945,94;39885,92;39994,65;44408,65;47107,86;49021,88;56408,67
Chuí;4305439;-33,68659999999;-53,4594;13096,31;14044,82;16875,01;21055,68;24194,99;30837,04;33916,57;37264,87;57139,27
Chuvisca;4305447;-30,75039999999;-51,9737;11342,05;11835,84;13322,5;18668,15;19500;18162,77;22194,2;19514,97;18909,13
Cidreira;4305454;-30,16039999999;-50,2338;10652,87;11825;13344,6;14372,16;15591,02;16874,2;18371,56;18943,63;17575,91
Ciríaco;4305504;-28,34189999999;-51,87409999999;15943,89;19711;17607,71;23032,75;22462,6;23057,53;26254,07;24263,9;31167,73
Colinas;4305587;-29,38149999999;-51,8526;14132,77;14775,62;16139,98;23937,44;26005,72;26414,35;26677,92;27240,66;24097,69
Colorado;4305603;-28,5258;-52,9928;24448,47;30795,42;23249,89;42243,16;36985,5;44183,06;52119,09;49547,65;65388,67
Condor;4305702;-28,2075;-53,49049999999;25592,43;31525,71;25240,92;37354,2;38467,4;44752,48;47990,24;45889,39;57445,77
Constantina;4305801;-27,73199999999;-52,9938;13678,17;15632,71;15646,37;22140,6;23310,87;24227,04;26611,77;26665,57;30642,99
Coqueiro Baixo;4305835;-29,1722;-52,0989;14116,2;16026,46;15970,92;18407,65;18152,14;21024,86;21171,85;20988,35;22487,08
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;22256,09;24605,64;21301,33;31809,88;34721,12;37267,18;43613,6;42178,47;52168,1
Coronel Barros;4305871;-28,39219999999;-54,0686;18762,81;24297,79;23563,88;33569,7;30403,42;36986,2;42672,52;55365,8;48213,49
Coronel Bicaco;4305900;-27,7197;-53,70219999999;19035,54;20533,24;18264,34;27843,24;29086,34;31496,83;39342,67;33910,1;40506,06
Coronel Pilar;4305934;-29,2684;-51,68789999999;14210,02;15044,83;14810,75;18650,61;19832,46;20355,75;20099,1;22379,89;24110,93
Cotiporã;4305959;-28,9891;-51,69709999999;15137,25;17082,68;17290,88;18562,92;22132,68;32710,78;31226,14;36459,18;40870,16
Coxilha;4305975;-28,128;-52,3023;34026,72;41149;42309,46;56946,07;55280;62938,75;72365,84;69891,17;79144,17
Crissiumal;4306007;-27,4999;-54,0994;13583,8;13864,79;14569,66;17397,13;18741,63;20477,36;22496,16;23268,7;25509,72
Cristal;4306056;-31,0046;-52,04359999999;12581,02;13809,18;15353,06;17963,99;19718,3;21236,18;21374,48;25256,34;22553,79
Cristal do Sul;4306072;-27,452;-53,24219999999;10616,42;11152,51;10278,77;15635,06;16421,71;17750,64;19341,19;17422,81;20636,29
Cruz Alta;4306106;-28,645;-53,60479999999;22705,86;28844,86;29635,88;41523,89;41886,93;47063,92;49684,1;50248,02;65065,59
Cruzaltense;4306130;-27,6644;-52,6492;16368,3;18855,75;18846,89;28138,74;25256,17;29779,82;35707,53;33555,4;45673,33
Cruzeiro do Sul;4306205;-29,5148;-51,9928;12790,15;14700,06;18451,99;20468,71;23348,49;24735,14;26757,02;28450,97;29050,27
David Canabarro;4306304;-28,38489999999;-51,84819999999;15460,17;17289,71;17173,11;22178,14;24615,54;24070,68;26584,08;24847,17;31003,4
Derrubadas;4306320;-27,26419999999;-53,8645;13878,73;16133,54;15305,46;22550,45;22401,18;22491,31;24884,58;24725,76;28789,23
Dezesseis de Novembro;4306353;-28,219;-55,0617;8039,35;8522,94;8312,71;10358,94;11378,71;12276,73;14223,43;13721,7;15928,74
Dilermando de Aguiar;4306379;-29,7054;-54,2122;17356,99;19532,81;19293,97;28620,13;29247,06;33521,33;39435,5;34353,41;47554,4
Dois Irmãos;4306403;-29,5836;-51,08979999999;34348,55;36958,8;42616,63;44834;50093;51028,6;55044,65;54907,61;62157,03
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;26236,62;31809,7;19271,02;40986,96;38428,26;43094,92;51527,58;47496,99;56332,81
Dois Lajeados;4306452;-28,983;-51,83959999999;17314,54;18568,63;18088,32;21270,11;22977,93;24839,57;25937,93;27065,82;28422,03
Dom Feliciano;4306502;-30,70039999999;-52,1026;9941,36;9726,03;10864,37;12208,11;13208,01;14813,62;15116,38;16325,01;15501,61
Dom Pedrito;4306601;-30,9756;-54,6694;15994,83;16573,82;20064,25;24607,07;25927,83;29603,75;31004,21;34239,22;34347,33
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;16550,03;12838,76;13071,96;17564,07;17926,24;17864,62;20122,69;21466,88;21488,71
Dona Francisca;4306700;-29,61949999999;-53,36169999999;10842,83;13181,74;15127,86;17789,34;19447,14;19623,15;20058,76;21879,9;24391,42
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;16505,37;20731,28;22232,74;27575,62;34980,33;32193,52;36208,39;34151,55;42284,55
Doutor Ricardo;4306759;-29,084;-51,9971;15175,21;17148,2;18183,59;22328,67;25390,53;27255,01;25323,89;25195,69;26187,1
Eldorado do Sul;4306767;-30,0847;-51,61869999999;19878,6;21415,01;22284,66;26031,2;32041,86;33827,65;38676,97;41214,19;39551,13
Encantado;4306809;-29,23509999999;-51,8703;21362,31;22620,62;25962,51;28285,04;31213,75;33696,95;36142,85;37373,95;39380,74
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;9161,27;10397,39;10765,14;12850,49;15461,76;17437,38;22208,39;20706,73;20766,94
Engenho Velho;4306924;-27,706;-52,91449999999;18701,43;19095,05;18178,7;27795,82;29179,98;35762,84;38866,32;35584,26;45607,32
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;100050,88;105939,68;90330,24;83020,08;35795,63;50147,03;63990,44;63536,03;68317,58
Entre-ijuís;4306932;-28,3686;-54,26859999999;15714,4;19650,74;13743,73;28882,38;28862,33;31145,3;40038,03;38164,7;47488,62
Erebango;4306973;-27,85439999999;-52,3005;15648,48;21283,79;18733,47;24731,5;26091,44;28176,28;34777,11;33673,7;36857,45
Erechim;4307005;-27,63639999999;-52,2697;24945,79;29335,79;32884,27;40220,38;40260,67;41646,07;42749,91;43354,43;47080,69
Ernestina;4307054;-28,49769999999;-52,58359999999;22279,07;25891,08;24332,18;33580,71;34763,56;42239,18;47869,79;40673,82;45663,19
Erval Grande;4307203;-27,3926;-52,57399999999;10147,2;12798,35;11101,71;12662,91;17220,2;16166,83;17566,79;17705,26;19210,49
Erval Seco;4307302;-27,5443;-53,5005;13154,91;16482,69;16369,2;24561,56;24782,33;27501,48;31932,77;30071,32;32927,94
Esmeralda;4307401;-28,0518;-51,1933;29350,11;30603,31;29780,14;40227,77;46096,89;50131,46;61493,11;54026,83;65767,96
Esperança do Sul;4307450;-27,36029999999;-53,9891;10923,64;13217,05;13567,76;17481,94;17712,08;18585,83;21191,61;21331,51;24151,55
Espumoso;4307500;-28,7286;-52,8461;19188,99;23955,37;25960,78;36137,5;34855,46;38378,95;42116,84;42125,28;49684,93
Estação;4307559;-27,91349999999;-52,2635;17778,63;22237,07;25331,56;30452,2;32967,7;35102,5;41425,25;52314,2;60033,72
Estância Velha;4307609;-29,6535;-51,1843;20901,06;22124,41;22939;25285,31;28254,52;28802,08;28267,61;27707,5;29630,14
Esteio;4307708;-29,852;-51,1841;25988,74;27369,73;30260,59;32440,39;34945,5;37092,96;40106,71;37789,87;38249,4
Estrela;4307807;-29,5016;-51,9605;27888,36;33010,61;37033,03;37229,72;37707,11;35517,46;41256,55;38479,65;43585,52
Estrela Velha;4307815;-29,17129999999;-53,16389999999;17802,32;21355,81;21511,87;31606,04;32894,24;28339,3;31188,99;33653,36;35090,1
Eugênio de Castro;4307831;-28,5315;-54,15059999999;32861;41640,75;37289,07;58367,21;50295,77;54337,98;72057,83;64599;84768,84
Fagundes Varela;4307864;-28,8794;-51,7014;15820,53;17404,95;17512,12;22694,6;25101,64;26520,02;28387,57;28868,59;28469,52
Farroupilha;4307906;-29,2227;-51,3419;29128,49;31446,21;32796,14;36024,26;40178,4;41149,56;44225,09;45466,72;47878,78
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;14708;22124,48;16895,13;21606,74;20636,84;22851,18;25110,39;26977,44;30334,78
